"primaryTitle","startYear","averageRating","genre","genre_avg","year_avg"
"Dhuntaaraa",2015,7.4,"Family",5.37,6.456
"Love & Mercy",2014,7.4,"Biography",7.27,6.06
"Love & Mercy",2014,7.4,"Drama",6.252,6.06
"Pickpocket",1998,7.4,"Drama",6.252,6.292
"Socha Na Tha",2005,7.4,"Comedy",5.789,6.33
"Socha Na Tha",2005,7.4,"Drama",6.252,6.33
"Socha Na Tha",2005,7.4,"Romance",6.0,6.33
"The Fallen Word",2013,7.4,"Drama",6.252,6.369
"The Fallen Word",2013,7.4,"Fantasy",6.139,6.369
"The Fallen Word",2013,7.4,"Mystery",5.51,6.369
"The Wind Will Carry Us",1999,7.4,"Drama",6.252,6.202
"Together",2000,7.4,"Comedy",5.789,6.352
"Together",2000,7.4,"Drama",6.252,6.352
"Together",2000,7.4,"Romance",6.0,6.352
"Conversations with Mother",2004,7.3,"Comedy",5.789,6.404
"Conversations with Mother",2004,7.3,"Drama",6.252,6.404
"Country",2000,7.3,"Drama",6.252,6.352
"La Ciudad (the City)",1998,7.3,"Drama",6.252,6.292
"Marsinah",2001,7.3,"Crime",5.6,6.234
"Marsinah",2001,7.3,"Drama",6.252,6.234
"O Cineasta da Selva",1997,7.3,"Biography",7.27,6.262
"Six Days in the Life of Mims",2004,7.3,"Comedy",5.789,6.404
"The Adventures of Tintin",2011,7.3,"Action",5.471,5.751
"The Adventures of Tintin",2011,7.3,"Adventure",5.895,5.751
"The Adventures of Tintin",2011,7.3,"Animation",6.835,5.751
"Ant-Man",2015,7.2,"Action",5.471,6.456
"Ant-Man",2015,7.2,"Comedy",5.789,6.456
"Ant-Man",2015,7.2,"Sci-Fi",5.713,6.456
"Empress Chung",2005,7.2,"Animation",6.835,6.33
"Empress Chung",2005,7.2,"Drama",6.252,6.33
"Empress Chung",2005,7.2,"Fantasy",6.139,6.33
"Familia",1996,7.2,"Comedy",5.789,6.342
"Familia",1996,7.2,"Drama",6.252,6.342
"Keerthi Chakra",2006,7.2,"Action",5.471,6.312
"Keerthi Chakra",2006,7.2,"Drama",6.252,6.312
"Luna Papa",1999,7.2,"Comedy",5.789,6.202
"Luna Papa",1999,7.2,"Drama",6.252,6.202
"The Gathering!",2003,7.2,"Comedy",5.789,6.222
"The Gathering!",2003,7.2,"Drama",6.252,6.222
"The Man Who Knew Infinity",2015,7.2,"Drama",6.252,6.456
"Will Not End Here",2008,7.2,"Comedy",5.789,6.162
"Will Not End Here",2008,7.2,"Drama",6.252,6.162
"Will Not End Here",2008,7.2,"Romance",6.0,6.162
"Young American Dream",2013,7.2,"Drama",6.252,6.369
"Young American Dream",2013,7.2,"Sport",6.72,6.369
"Bhopal: A Prayer for Rain",2014,7.1,"Drama",6.252,6.06
"Des nouvelles du bon Dieu",1996,7.1,"Comedy",5.789,6.342
"Ici Najac, à vous la terre",2006,7.1,"Comedy",5.789,6.312
"Ici Najac, à vous la terre",2006,7.1,"Drama",6.252,6.312
"Jackson Arms",2015,7.1,"Romance",6.0,6.456
"Man of Steel",2013,7.1,"Action",5.471,6.369
"Man of Steel",2013,7.1,"Adventure",5.895,6.369
"Man of Steel",2013,7.1,"Sci-Fi",5.713,6.369
"Plastic Flowers",2004,7.1,"Drama",6.252,6.404
"Screenland Drive",2000,7.1,"Comedy",5.789,6.352
"The Attack",2012,7.1,"Crime",5.6,5.781
"The Attack",2012,7.1,"Drama",6.252,5.781
"The Attack",2012,7.1,"Mystery",5.51,5.781
"The Croods",2013,7.1,"Adventure",5.895,6.369
"The Croods",2013,7.1,"Animation",6.835,6.369
"The Croods",2013,7.1,"Comedy",5.789,6.369
"The Danish Girl",2015,7.1,"Drama",6.252,6.456
"April Children",1998,7.0,"Drama",6.252,6.292
"Blues Harp",1998,7.0,"Crime",5.6,6.292
"Blues Harp",1998,7.0,"Drama",6.252,6.292
"Cala, My Dog!",2003,7.0,"Comedy",5.789,6.222
"Cala, My Dog!",2003,7.0,"Drama",6.252,6.222
"Cala, My Dog!",2003,7.0,"Family",5.37,6.222
"Infamous",2006,7.0,"Crime",5.6,6.312
"Infamous",2006,7.0,"Drama",6.252,6.312
"The Connecticut Kid",2011,7.0,"Adventure",5.895,5.751
"Un amor de Borges",2000,7.0,"Drama",6.252,6.352
"Between Abril and Julio",2002,6.9,"Comedy",5.789,6.362
"Between Abril and Julio",2002,6.9,"Family",5.37,6.362
"Between Abril and Julio",2002,6.9,"Romance",6.0,6.362
"Bully",2001,6.9,"Crime",5.6,6.234
"Bully",2001,6.9,"Drama",6.252,6.234
"Call Me Elisabeth",2006,6.9,"Drama",6.252,6.312
"Cloudy with a Chance of Meatballs",2009,6.9,"Adventure",5.895,6.074
"Cloudy with a Chance of Meatballs",2009,6.9,"Animation",6.835,6.074
"Cloudy with a Chance of Meatballs",2009,6.9,"Comedy",5.789,6.074
"Das Zimmer im Spiegel",2009,6.9,"Drama",6.252,6.074
"Evangelion: 3.0 You Can (Not) Redo",2012,6.9,"Action",5.471,5.781
"Evangelion: 3.0 You Can (Not) Redo",2012,6.9,"Animation",6.835,5.781
"Evangelion: 3.0 You Can (Not) Redo",2012,6.9,"Drama",6.252,5.781
"Jurassic World",2015,6.9,"Action",5.471,6.456
"Jurassic World",2015,6.9,"Adventure",5.895,6.456
"Jurassic World",2015,6.9,"Sci-Fi",5.713,6.456
"Liar Liar",1997,6.9,"Comedy",5.789,6.262
"Liar Liar",1997,6.9,"Fantasy",6.139,6.262
"Pao's Story",2006,6.9,"Drama",6.252,6.312
"Punch & Judy",2002,6.9,"Comedy",5.789,6.362
"Street Stall",2015,6.9,"Romance",6.0,6.456
"The Amazing Spider-Man",2012,6.9,"Action",5.471,5.781
"The Amazing Spider-Man",2012,6.9,"Sci-Fi",5.713,5.781
"The Life Jacket Is Under Your Seat",1998,6.9,"Comedy",5.789,6.292
"All or Nothing: A Moscow Detour",2004,6.8,"Comedy",5.789,6.404
"An Angel of the Lord",2005,6.8,"Comedy",5.789,6.33
"An Angel of the Lord",2005,6.8,"Family",5.37,6.33
"An Angel of the Lord",2005,6.8,"Fantasy",6.139,6.33
"Before Tomorrow",2008,6.8,"Drama",6.252,6.162
"Before We Go",2014,6.8,"Comedy",5.789,6.06
"Before We Go",2014,6.8,"Drama",6.252,6.06
"Before We Go",2014,6.8,"Romance",6.0,6.06
"Cabin Fever",2000,6.8,"Drama",6.252,6.352
"Dolce...",2000,6.8,"Drama",6.252,6.352
"Innocence",2004,6.8,"Drama",6.252,6.404
"Innocence",2004,6.8,"Mystery",5.51,6.404
"Lost and Delirious",2001,6.8,"Drama",6.252,6.234
"Lost and Delirious",2001,6.8,"Romance",6.0,6.234
"Sex & Sushi",2006,6.8,"Comedy",5.789,6.312
"Sex & Sushi",2006,6.8,"Romance",6.0,6.312
"Tama asobi",1996,6.8,"Drama",6.252,6.342
"Thanks for the Tip",1997,6.8,"Comedy",5.789,6.262
"The Boxtrolls",2014,6.8,"Adventure",5.895,6.06
"The Boxtrolls",2014,6.8,"Comedy",5.789,6.06
"The Stanford Prison Experiment",2015,6.8,"Drama",6.252,6.456
"Walk Backwards",2001,6.8,"Drama",6.252,6.234
"De apparatspott",1999,6.7,"Sci-Fi",5.713,6.202
"Dorian Blues",2004,6.7,"Comedy",5.789,6.404
"Dorian Blues",2004,6.7,"Drama",6.252,6.404
"Dorian Blues",2004,6.7,"Romance",6.0,6.404
"Hanna",2011,6.7,"Action",5.471,5.751
"Hanna",2011,6.7,"Adventure",5.895,5.751
"Hanna",2011,6.7,"Drama",6.252,5.751
"Haunted School 3",1997,6.7,"Horror",4.579,6.262
"Inside",2007,6.7,"Horror",4.579,6.232
"Les Boys",1997,6.7,"Comedy",5.789,6.262
"Les Boys",1997,6.7,"Drama",6.252,6.262
"The A-Team",2010,6.7,"Action",5.471,5.895
"The A-Team",2010,6.7,"Adventure",5.895,5.895
"The A-Team",2010,6.7,"Crime",5.6,5.895
"The Brothers Bloom",2008,6.7,"Action",5.471,6.162
"The Brothers Bloom",2008,6.7,"Adventure",5.895,6.162
"The Brothers Bloom",2008,6.7,"Comedy",5.789,6.162
"The Trap",1996,6.7,"Crime",5.6,6.342
"The Trap",1996,6.7,"Drama",6.252,6.342
"The Trap",1996,6.7,"Mystery",5.51,6.342
"Transeúntes",2015,6.7,"Comedy",5.789,6.456
"Transeúntes",2015,6.7,"Drama",6.252,6.456
"Without a Map",1996,6.7,"Drama",6.252,6.342
"A Home at the End of the World",2004,6.6,"Drama",6.252,6.404
"A Home at the End of the World",2004,6.6,"Romance",6.0,6.404
"A Parting Shot",2007,6.6,"Drama",6.252,6.232
"Act Your Age",2011,6.6,"Comedy",5.789,5.751
"Act Your Age",2011,6.6,"Drama",6.252,5.751
"Bandage",2010,6.6,"Drama",6.252,5.895
"Bandage",2010,6.6,"Romance",6.0,5.895
"Blunt Movie",2013,6.6,"Comedy",5.789,6.369
"Blunt Movie",2013,6.6,"Romance",6.0,6.369
"Clubhouse Detectives",1996,6.6,"Adventure",5.895,6.342
"Clubhouse Detectives",1996,6.6,"Family",5.37,6.342
"Clubhouse Detectives",1996,6.6,"Mystery",5.51,6.342
"Coffee Sex You",2014,6.6,"Drama",6.252,6.06
"Creation",2009,6.6,"Drama",6.252,6.074
"Creation",2009,6.6,"Romance",6.0,6.074
"Crossing Bridges",2007,6.6,"Drama",6.252,6.232
"Divine Intervention",2002,6.6,"Comedy",5.789,6.362
"Divine Intervention",2002,6.6,"Drama",6.252,6.362
"Divine Intervention",2002,6.6,"Romance",6.0,6.362
"Epic",2013,6.6,"Action",5.471,6.369
"Epic",2013,6.6,"Adventure",5.895,6.369
"Gorod bez solntsa",2005,6.6,"Drama",6.252,6.33
"John Carter",2012,6.6,"Action",5.471,5.781
"John Carter",2012,6.6,"Adventure",5.895,5.781
"John Carter",2012,6.6,"Sci-Fi",5.713,5.781
"Kiss Me in the Rain",1999,6.6,"Drama",6.252,6.202
"Kiss Me in the Rain",1999,6.6,"Thriller",5.134,6.202
"Machete",2010,6.6,"Action",5.471,5.895
"Machete",2010,6.6,"Crime",5.6,5.895
"Machete",2010,6.6,"Thriller",5.134,5.895
"Puss in Boots",2011,6.6,"Action",5.471,5.751
"Puss in Boots",2011,6.6,"Adventure",5.895,5.751
"R2PC: Road to Park City",2000,6.6,"Comedy",5.789,6.352
"Scotland, Pa.",2001,6.6,"Comedy",5.789,6.234
"Scotland, Pa.",2001,6.6,"Crime",5.6,6.234
"The Wedding Ringer",2015,6.6,"Comedy",5.789,6.456
"The Wedding Ringer",2015,6.6,"Romance",6.0,6.456
"Tôkyô gomi onna",2000,6.6,"Comedy",5.789,6.352
"Tôkyô gomi onna",2000,6.6,"Drama",6.252,6.352
"Tôkyô gomi onna",2000,6.6,"Romance",6.0,6.352
"20.13: Purgatory",2006,6.5,"Drama",6.252,6.312
"20.13: Purgatory",2006,6.5,"Mystery",5.51,6.312
"A Chinese Ghost Story: The Tsui Hark Animation",1997,6.5,"Adventure",5.895,6.262
"A Chinese Ghost Story: The Tsui Hark Animation",1997,6.5,"Fantasy",6.139,6.262
"A Walk Among the Tombstones",2014,6.5,"Action",5.471,6.06
"A Walk Among the Tombstones",2014,6.5,"Crime",5.6,6.06
"A Walk Among the Tombstones",2014,6.5,"Drama",6.252,6.06
"El hada buena - Una fábula peronista",2010,6.5,"Comedy",5.789,5.895
"El hada buena - Una fábula peronista",2010,6.5,"Drama",6.252,5.895
"El hada buena - Una fábula peronista",2010,6.5,"Sci-Fi",5.713,5.895
"Georg",2007,6.5,"Drama",6.252,6.232
"Joe Gould's Secret",2000,6.5,"Drama",6.252,6.352
"Little Boy Blues",1999,6.5,"Comedy",5.789,6.202
"Little Boy Blues",1999,6.5,"Drama",6.252,6.202
"Me Boss, You Sneakers!",1998,6.5,"Comedy",5.789,6.292
"Me Boss, You Sneakers!",1998,6.5,"Drama",6.252,6.292
"Salt",2010,6.5,"Action",5.471,5.895
"Salt",2010,6.5,"Thriller",5.134,5.895
"Secuestro express",2004,6.5,"Action",5.471,6.404
"Secuestro express",2004,6.5,"Crime",5.6,6.404
"Secuestro express",2004,6.5,"Drama",6.252,6.404
"Sin City: A Dame to Kill For",2014,6.5,"Action",5.471,6.06
"Sin City: A Dame to Kill For",2014,6.5,"Crime",5.6,6.06
"This Very Moment",2003,6.5,"Drama",6.252,6.222
"Traces of Love",2006,6.5,"Drama",6.252,6.312
"Traces of Love",2006,6.5,"Romance",6.0,6.312
"White Knuckles",2010,6.5,"Drama",6.252,5.895
"White Knuckles",2010,6.5,"Thriller",5.134,5.895
"Women's Prison",2002,6.5,"Drama",6.252,6.362
"American Flyer",2010,6.4,"Adventure",5.895,5.895
"Daybreakers",2009,6.4,"Action",5.471,6.074
"Daybreakers",2009,6.4,"Horror",4.579,6.074
"Daybreakers",2009,6.4,"Sci-Fi",5.713,6.074
"Godzilla",2014,6.4,"Action",5.471,6.06
"Godzilla",2014,6.4,"Adventure",5.895,6.06
"Godzilla",2014,6.4,"Sci-Fi",5.713,6.06
"I'm No Dummy",2009,6.4,"Comedy",5.789,6.074
"Il 7 e l'8",2007,6.4,"Comedy",5.789,6.232
"Kid Cannabis",2014,6.4,"Comedy",5.789,6.06
"Kid Cannabis",2014,6.4,"Crime",5.6,6.06
"Mr. Cinderella",2002,6.4,"Comedy",5.789,6.362
"Mr. Cinderella",2002,6.4,"Drama",6.252,6.362
"Mr. Cinderella",2002,6.4,"Romance",6.0,6.362
"She's Out of My League",2010,6.4,"Comedy",5.789,5.895
"She's Out of My League",2010,6.4,"Romance",6.0,5.895
"Summer's Gone",1999,6.4,"Drama",6.252,6.202
"The Blood Rules",2000,6.4,"Crime",5.6,6.352
"The Blood Rules",2000,6.4,"Drama",6.252,6.352
"The Blood Rules",2000,6.4,"Thriller",5.134,6.352
"The Giver",2014,6.4,"Drama",6.252,6.06
"The Giver",2014,6.4,"Romance",6.0,6.06
"The Giver",2014,6.4,"Sci-Fi",5.713,6.06
"The Long Falling",2011,6.4,"Drama",6.252,5.751
"The Visit",2000,6.4,"Drama",6.252,6.352
"Un parfum nommé Saïd",2003,6.4,"Romance",6.0,6.222
"An Obsession",1997,6.3,"Crime",5.6,6.262
"An Obsession",1997,6.3,"Drama",6.252,6.262
"Atomic Blue Mexican Wrestler",1999,6.3,"Comedy",5.789,6.202
"Sushi in Suhl",2012,6.3,"Comedy",5.789,5.781
"Sushi in Suhl",2012,6.3,"Drama",6.252,5.781
"The Chronicles of Narnia: The Voyage of the Dawn Treader",2010,6.3,"Adventure",5.895,5.895
"The Chronicles of Narnia: The Voyage of the Dawn Treader",2010,6.3,"Family",5.37,5.895
"The Chronicles of Narnia: The Voyage of the Dawn Treader",2010,6.3,"Fantasy",6.139,5.895
"The Collector",2009,6.3,"Horror",4.579,6.074
"The Collector",2009,6.3,"Thriller",5.134,6.074
"The Ninth Cloud",2014,6.3,"Drama",6.252,6.06
"The Other Side of Heaven",2001,6.3,"Adventure",5.895,6.234
"The Other Side of Heaven",2001,6.3,"Drama",6.252,6.234
"Mamo, ya lotchyka lyublyu",2012,6.2,"Romance",6.0,5.781
"The Chosen Heaven",2010,6.2,"Thriller",5.134,5.895
"Buffalo Bushido",2009,6.1,"Thriller",5.134,6.074
"In the Electric Mist",2009,6.1,"Crime",5.6,6.074
"In the Electric Mist",2009,6.1,"Mystery",5.51,6.074
"Red State",2011,6.1,"Action",5.471,5.751
"Red State",2011,6.1,"Horror",4.579,5.751
"Red State",2011,6.1,"Thriller",5.134,5.751
"13",2010,6.0,"Crime",5.6,5.895
"13",2010,6.0,"Thriller",5.134,5.895
"Exposed",2012,6.0,"Mystery",5.51,5.781
"Exposed",2012,6.0,"Thriller",5.134,5.781
"A Thousand Words",2012,5.9,"Comedy",5.789,5.781
"Dinner for Schmucks",2010,5.9,"Comedy",5.789,5.895
"Red Tails",2012,5.9,"Action",5.471,5.781
"Sanctum",2011,5.9,"Action",5.471,5.751
"Sanctum",2011,5.9,"Adventure",5.895,5.751
"Something Borrowed",2011,5.8,"Comedy",5.789,5.751
