"person_name","distinct_genres","genres_covered"
"Wan Hafiz",3,"Comedy, Drama, Romance"
"Wanda Birdsong Shope",3,"Comedy, Crime, Family"
"Will Eisner",3,"Action, Crime, Fantasy"
"William Davies",3,"Action, Adventure, Animation"
"William Hanna",3,"Comedy, Family, Romance"
"William Joyce",3,"Action, Adventure, Animation"
"Xavier Robles",3,"Action, Animation, Comedy"
"Xuechang Lu",3,"Comedy, Drama, Family"
"Yann Martel",3,"Adventure, Drama, Fantasy"
"Yash Keswani",3,"Drama, Romance, Thriller"
"Yasmin Yaacob",3,"Comedy, Drama, Romance"
"Yasmina Khadra",3,"Crime, Drama, Mystery"
"Yasushi Fukuda",3,"Fantasy, Horror, Thriller"
"Yograj Bhat",3,"Comedy, Music, Romance"
"Yoshikazu Takeuchi",3,"Crime, Drama, Mystery"
"Young-sup Kwon",3,"Animation, Drama, Fantasy"
"Yuk Long Wong",3,"Action, Fantasy, Thriller"
"Zani Leo",3,"Action, Drama, Thriller"
"Zeke Richardson",3,"Comedy, Drama, Family"
"Ziad Doueiri",3,"Crime, Drama, Mystery"
"Zivko Zalar",3,"Comedy, Drama, Romance"
"Zoltán Egressy",3,"Comedy, Crime, Drama"
"Álvaro Rodríguez",3,"Action, Crime, Thriller"
"Özgü Namal",3,"Adventure, Comedy, Sci-Fi"
"A. Karunakaran",2,"Drama, Romance"
"Aaron Pearl",2,"Comedy, Drama"
"Adam Lamas",2,"Drama, War"
"Adam Sandler",2,"Comedy, Family"
"Adele Schmidt",2,"Documentary, Music"
"Adolfo Busó Steffens",2,"Comedy, Drama"
"Adrian Cruz",2,"Crime, Thriller"
"Agatha Christie",2,"Crime, Mystery"
"Agneta Ulfsäter-Troell",2,"Drama, History"
"Agung Bawantara",2,"Crime, Drama"
"Alan Pao",2,"Drama, Thriller"
"Alan von Kalckreuth",2,"Documentary, War"
"Albert Cohen",2,"Drama, Romance"
"Alec Carlin",2,"Action, Sci-Fi"
"Alex Carpenter",2,"Drama, War"
"Alexis Kardaras",2,"Comedy, Crime"
"Alvin Sargent",2,"Action, Sci-Fi"
"Ameer Sultan",2,"Drama, Romance"
"Amy Jump",2,"Drama, Sci-Fi"
"Andres Heinz",2,"Drama, Thriller"
"Andrew Kenneth Martin",2,"Comedy, Drama"
"Andrew Lauren",2,"Drama, Romance"
"Anthony Hamilton",2,"Comedy, Drama"
"Antti Karumo",2,"Drama, Thriller"
"Art Camacho",2,"Action, Drama"
"Artur Ribeiro",2,"Biography, Documentary"
"Arun Sadhu",2,"Biography, History"
"Aryan Kaganof",2,"Drama, Romance"
"Ash Staley",2,"Action, Adventure"
"Ashley Way",2,"Comedy, Crime"
"Ashutosh Gowariker",2,"Drama, Musical"
"Aurélio Michiles",2,"Biography, Documentary"
"Bakhtyar Khudojnazarov",2,"Comedy, Drama"
"Barbara Alberti",2,"Comedy, Romance"
"Ben Edlund",2,"Comedy, Sci-Fi"
"Ben Zook",2,"Comedy, Family"
"Benjamin Meade",2,"Documentary, Mystery"
"Bernard Badion",2,"Comedy, Romance"
"Biju Viswanath",2,"Comedy, Drama"
"Billy Morrissette",2,"Comedy, Crime"
"Blaine Thurier",2,"Comedy, Drama"
"Bob Decout",2,"Comedy, Drama"
"Brendan Foley",2,"Horror, Thriller"
"Brent Forrester",2,"Adventure, Comedy"
"Bruno de Almeida",2,"Biography, Documentary"
"Bryan Anthony Pierre",2,"Comedy, Music"
"Bryan Fogel",2,"Comedy, Romance"
"Bryan W. Simon",2,"Comedy, Documentary"
"Buronson",2,"Crime, Drama"
"Camilla Leslie",2,"Comedy, Romance"
"Carla Cipriani",2,"Comedy, Romance"
"Carlo Verdone",2,"Comedy, Romance"
"Charles E. Drew Jr.",2,"Drama, Romance"
"Charles T. Kanganis",2,"Drama, Musical"
"Charlie Murphy",2,"Comedy, Romance"
"Chris Jun",2,"Drama, Thriller"
"Chris Kobin",2,"Comedy, Horror"
"Christoph Busch",2,"Drama, Thriller"
"Christopher Bruce",2,"Comedy, Drama"
"Christopher Robin Hood",2,"Crime, Drama"
"Christopher Scott Cherot",2,"Drama, Romance"
"Christopher Tuffin",2,"Comedy, Horror"
"Christopher Wood",2,"Crime, Thriller"
"Chumilla-Carbajosa",2,"Comedy, Drama"
"Colin Brunton",2,"Documentary, Music"
"Craig Borten",2,"Biography, Drama"
"Craig Singer",2,"Horror, Thriller"
"Csaba Bereczky",2,"Documentary, Music"
"Curtis Krick",2,"Comedy, Drama"
"Céline Bozon",2,"Drama, Fantasy"
"Dan Acre",2,"Drama, Thriller"
"Dan O'Donahue",2,"Comedy, Drama"
"Dan T. Carter",2,"Biography, Documentary"
"Daniel McCabe",2,"Biography, Documentary"
"Danish Iqbal",2,"Comedy, Drama"
"Danny Lerner",2,"Action, Drama"
"Dave Cummings",2,"Comedy, Music"
"Dave Warner",2,"Drama, Thriller"
"David Ebershoff",2,"Biography, Drama"
"David Oman",2,"Horror, Thriller"
"David Ronn",2,"Comedy, Romance"
"David Sparling",2,"Action, Drama"
"Daya Pawar",2,"Biography, History"
"Dean Hyers",2,"Crime, Drama"
"Debabrata Dutta",2,"Crime, Mystery"
"Deirdre Lorenz",2,"Comedy, Drama"
"Delia Ephron",2,"Comedy, Drama"
"Dennis C. Evangelista",2,"Drama, Romance"
"Dennis S. Johnson",2,"Comedy, Family"
"Deok-jeon Han",2,"Drama, Romance"
"Djibril Glissant",2,"Drama, Fantasy"
"Dominic Hamilton-Little",2,"Comedy, Drama"
"Doug Atchison",2,"Drama, Thriller"
"Dr. Rajendrababu",2,"Drama, Fantasy"
"E. Paul Edwards",2,"Drama, Romance"
"Ed Decatur",2,"Action, Adventure"
"Eddie Murphy",2,"Comedy, Romance"
"Edilio Peña",2,"Drama, Mystery"
"Elias Goday",2,"Biography, Drama"
"Elizabeth Coleman",2,"Comedy, Romance"
"Elke Weigelt",2,"Comedy, Drama"
"Emil Martonffi",2,"Comedy, Romance"
"Enrique Almeida",2,"Crime, Thriller"
"Eric Assous",2,"Comedy, Romance"
"Eric DelaBarre",2,"Crime, Thriller"
"Eric P. Sherman",2,"Crime, Drama"
"Eros Djarot",2,"Crime, Drama"
"Ethan Coen",2,"Comedy, Crime"
"Evan Oppenheimer",2,"Sci-Fi, Thriller"
"Fernando León de Aranoa",2,"Comedy, Drama"
"Fernando Poe Jr.",2,"Action, Drama"
"Flood Reed",2,"Comedy, Drama"
"Francesca Marciano",2,"Comedy, Romance"
"Frank Coelho",2,"Biography, Documentary"
"Frank Wedekind",2,"Drama, Mystery"
"Gabriel Bologna",2,"Comedy, Drama"
"Gautam Siddhartha",2,"Drama, Romance"
"Gil Cates Jr.",2,"Comedy, Drama"
"Gilles Marchand",2,"Drama, Fantasy"
"Gordon Currie",2,"Comedy, Drama"
"Greg Stechman",2,"Horror, Thriller"
"Guillermo Arriaga",2,"Drama, Thriller"
"Guy Ritchie",2,"Comedy, Crime"
"Hark Bohm",2,"Drama, Thriller"
"Harry Allard",2,"Adventure, Comedy"
"Henry Thomas",2,"Biography, Drama"
"Hervé Pierre-Gustave",2,"Comedy, Drama"
"Hilde Eynikel",2,"Horror, Thriller"
"Hillary Povar",2,"Drama, War"
"Howard S. Berger",2,"Comedy, Drama"
"Huili Raffo",2,"Drama, Thriller"
"Humilde 'Meek' Roxas",2,"Action, Comedy"
"Hussi Kutlucan",2,"Comedy, Drama"
"Hwang Seong-gu",2,"Drama, Romance"
"Imanol Uribe",2,"Adventure, Drama"
"Imtiaz Patel",2,"Comedy, Romance"
"Irakli Kvirikadze",2,"Comedy, Drama"
"Irena Kikic-Stojkovic",2,"Drama, Romance"
"J.G. Ballard",2,"Drama, Sci-Fi"
"James Barclay",2,"Crime, Drama"
"James M. Hausler",2,"Crime, Drama"
"James Marshall",2,"Adventure, Comedy"
"James Vanderbilt",2,"Action, Sci-Fi"
"James Wright",2,"Horror, Thriller"
"Jan Lindqvist",2,"Documentary, History"
"Jan Troell",2,"Drama, History"
"Jang Min-seok",2,"Drama, Romance"
"Jason Bunch",2,"Comedy, Romance"
"Jay Lavender",2,"Comedy, Romance"
"Jay Scherick",2,"Comedy, Romance"
"Jens-Frederik Otto",2,"Comedy, Drama"
"Jeong-ho Kim",2,"Drama, Romance"
"Jeremy Garelick",2,"Comedy, Romance"
"Jessica Yu",2,"Comedy, Sport"
"Jesús Bonilla",2,"Adventure, Comedy"
"Jim Vines",2,"Horror, Thriller"
"Jimmy Tsai",2,"Comedy, Sport"
"JoJo Henrickson",2,"Action, Sci-Fi"
"Joaquín Andújar",2,"Adventure, Comedy"
"Joe Cardona",2,"Documentary, Music"
"Joe Condren",2,"Horror, Thriller"
"Joe Furey",2,"Comedy, Drama"
"Joe Valenti",2,"Comedy, Drama"
"Joel Coen",2,"Comedy, Crime"
"John Charles Hunt",2,"Action, Thriller"
"John Huckert",2,"Drama, Thriller"
"John J. McLaughlin",2,"Drama, Thriller"
"John Krawlzik",2,"Sci-Fi, Thriller"
"John Lechago",2,"Fantasy, Horror"
"John Matkowsky",2,"Drama, Thriller"
"John McLean",2,"Comedy, Musical"
"John Morris",2,"Comedy, Romance"
"John Sheridan",2,"Horror, Thriller"
"Joko Anwar",2,"Comedy, Drama"
"Jon Boorstin",2,"Drama, Thriller"
"Jonathan Liebert",2,"Comedy, Romance"
"Joseph Siciliano",2,"Drama, Mystery"
"Joss Whedon",2,"Action, Sci-Fi"
"José Medina",2,"Action, Drama"
"José Zegarra Holder",2,"Documentary, Music"
"Juan Trasmonte",2,"Documentary, Music"
"Judith Thompson",2,"Drama, Romance"
"Jujur Prananto",2,"Adventure, Drama"
"Julio Rodrigues",2,"Biography, Documentary"
"Jun Aristorenas",2,"Action, Comedy"
"Justin O'Brien",2,"Horror, Thriller"
"Justus van Oel",2,"Crime, Drama"
"Kanji Yasumoto",2,"Crime, Drama"
"Karen Black",2,"Adventure, Family"
"Karsono Hadi",2,"Crime, Drama"
"Katherine Chandler",2,"Comedy, Romance"
"Keenen Ivory Wayans",2,"Action, Thriller"
"Kelvin Tong",2,"Comedy, Horror"
"Kevin K. Shah",2,"Drama, Thriller"
"Kevin Lewis",2,"Crime, Drama"
"Key Payton",2,"Drama, Sport"
"Kire Paputts",2,"Documentary, Music"
"Kirk Bowman",2,"Comedy, Sci-Fi"
"Kuku Kohli",2,"Action, Drama"
"Kurt Wimmer",2,"Action, Thriller"
"L. Douglas Zajec",2,"Drama, Romance"
"Lalit Marathe",2,"Drama, Musical"
"Lana Wachowski",2,"Action, Sci-Fi"
"Lance Young",2,"Drama, Romance"
"Lars Daniel Krutzkoff Jacobsen",2,"Comedy, Drama"
"Lars Emil Árnason",2,"Comedy, Drama"
"Lawrence L. Simeone",2,"Crime, Drama"
"Leigh Scott",2,"Comedy, Drama"
"Levi Wilson",2,"Comedy, Sci-Fi"
"Lilly Wachowski",2,"Action, Sci-Fi"
"Lisa Hammer",2,"Comedy, Sci-Fi"
"Lisa Kotin",2,"Comedy, Drama"
"Lorenzo De Luca",2,"Comedy, Musical"
"Lucile Hadzihalilovic",2,"Drama, Mystery"
"Lucinda Coxon",2,"Biography, Drama"
"Luis R. González Argüeso",2,"Comedy, Drama"
"Ly Hai",2,"Action, Comedy"
"M.G. Sathya",2,"Drama, Musical"
"Maja Öman",2,"Drama, History"
"Mani Ratnam",2,"Biography, Drama"
"Manny R. Buising",2,"Action, Drama"
"Manuel Palacios",2,"Drama, Thriller"
"Marc Weinstock",2,"Comedy, Drama"
"Marcel Theroux",2,"Comedy, War"
"Marcus Dunstan",2,"Horror, Thriller"
"Mari Mariano",2,"Drama, Romance"
"Marina Martins",2,"Adventure, Family"
"Mark Heyman",2,"Drama, Thriller"
"Mark Kidel",2,"Documentary, Music"
"Mark Knudsen",2,"Comedy, Family"
"Mark Magidson",2,"Documentary, Music"
"Mark Monroe",2,"Documentary, Music"
"Mark Stouffer",2,"Comedy, Family"
"María José García",2,"Comedy, Drama"
"María Teresa Costantini",2,"Drama, Romance"
"Masakazu Migita",2,"Comedy, Sci-Fi"
"Masha Novikova",2,"Documentary, War"
"Maths Isacson",2,"Documentary, History"
"Matt Brown",2,"Biography, Drama"
"Matt Ford",2,"Comedy, Romance"
"Matt John Evans",2,"Comedy, Drama"
"Matthew D. Panepinto",2,"Comedy, Drama"
"Mehul Kumar",2,"Comedy, Romance"
"Melisa Wallack",2,"Biography, Drama"
"Michael A. Pinckney",2,"Horror, Thriller"
"Michael Cunningham",2,"Drama, Romance"
"Michael D. Olmos",2,"Crime, Thriller"
"Michael Karr",2,"Comedy, Family"
"Michael Laimo",2,"Horror, Thriller"
"Michael Muhney",2,"Comedy, Drama"
"Michael Singh",2,"Documentary, Music"
"Mihai Ispirescu",2,"Drama, Fantasy"
"Mihály Szüle",2,"Comedy, Romance"
"Mike Leigh",2,"Comedy, Drama"
"Minoru Kawasaki",2,"Comedy, Sci-Fi"
"Mitja Novljan",2,"Comedy, Drama"
"Neal Shannon Cruey",2,"Comedy, Drama"
"Nestor Miranda",2,"Comedy, Drama"
"Nia Di Nata",2,"Comedy, Drama"
"Nicholas Chin",2,"Drama, Thriller"
"Nicholas Tucker",2,"Comedy, Drama"
"Nick Murphy",2,"Crime, Drama"
"Niklas Rådström",2,"Drama, History"
"Nikola Vukcevic",2,"Drama, Romance"
"Nikos Grammatikos",2,"Documentary, Drama"
"Nora Ephron",2,"Comedy, Drama"
"Orestes Matacena",2,"Comedy, Drama"
"Pablo César",2,"Drama, Fantasy"
"Pablo S. Gomez",2,"Action, Drama"
"Pasquale Plastino",2,"Comedy, Romance"
"Patricio Riquelme",2,"Drama, History"
"Patrick Melton",2,"Horror, Thriller"
"Pau Freixas",2,"Action, Thriller"
"Paul Guay",2,"Comedy, Fantasy"
"Paul Sampson",2,"Horror, Mystery"
"Paul Stekler",2,"Biography, Documentary"
"Pete Richens",2,"Comedy, War"
"Pete Vinal",2,"Drama, Family"
"Peter McGennis",2,"Drama, Thriller"
"Peter Richardson",2,"Comedy, War"
"Petr Jarchovský",2,"Comedy, Drama"
"Petr Sabach",2,"Comedy, Drama"
"Praful Parekh",2,"Action, Drama"
"Quan Phan",2,"Comedy, Drama"
"R. Ellis Frazier",2,"Action, Drama"
"Rajendra Kumar",2,"Drama, Romance"
"Rajiv Anchal",2,"Drama, Fantasy"
"Ramana Chintapally",2,"Drama, Romance"
"Ravi Chopra",2,"Crime, Drama"
"Raúl Perrone",2,"Comedy, Drama"
"Rick Bitzelberger",2,"Drama, Horror"
"Rituparno Ghosh",2,"Crime, Mystery"
"Rob Nilsson",2,"Crime, Drama"
"Robert Dean Klein",2,"Horror, Thriller"
"Robert Kanigel",2,"Biography, Drama"
"Robert Lawton",2,"Comedy, Romance"
"Robert Rodat",2,"Drama, War"
"Roberto Barandalla",2,"Comedy, Drama"
"Robin Hardy",2,"Drama, Horror"
"Roger Lim",2,"Drama, Sport"
"Roger McLeod",2,"Horror, Thriller"
"Rolfe Kanefsky",2,"Comedy, Sci-Fi"
"Ron Fricke",2,"Documentary, Music"
"Rose Bosch",2,"Comedy, Romance"
"Ross Patterson",2,"Comedy, Sport"
"Ryoichi Ikegami",2,"Crime, Drama"
"S.J. Suryah",2,"Drama, Romance"
"Sam Wolfson",2,"Comedy, Romance"
"Sameer Sharma",2,"Drama, Musical"
"Santiago Carlos Oves",2,"Comedy, Drama"
"Sara Lim",2,"Biography, Drama"
"Sara St. Martin Lynne",2,"Drama, Romance"
"Sean Alexander Jefferson",2,"Comedy, Music"
"Sean Anders",2,"Comedy, Romance"
"Sean Dillon",2,"Comedy, Drama"
"Shaira Mella Salvador",2,"Drama, Romance"
"Shalene Portman",2,"Comedy, Romance"
"Shinji Aoyama",2,"Crime, Drama"
"Slamet Rahardjo",2,"Crime, Drama"
"Sooni Taraporevala",2,"Biography, History"
"Sreenivasan",2,"Comedy, Drama"
"Stan Lee",2,"Action, Sci-Fi"
"Stephen Eckelberry",2,"Adventure, Family"
"Stephen Mazur",2,"Comedy, Fantasy"
"Stephen Szklarski",2,"Crime, Drama"
"Steve Fayer",2,"Biography, Documentary"
"Steve Horwich",2,"Adventure, Family"
"Steve Kloves",2,"Action, Sci-Fi"
"Steven Okazaki",2,"Documentary, History"
"Sudeshna Bandyopadhyay",2,"Crime, Mystery"
"Suhasini",2,"Biography, Drama"
"Susan Swan",2,"Drama, Romance"
"Susan Winter",2,"Comedy, Drama"
"Tamara Hernandez",2,"Comedy, Drama"
"Tennessee Williams",2,"Drama, Romance"
"Terrence Fleming",2,"Comedy, Sci-Fi"
"Thaelman Urgelles",2,"Drama, Mystery"
"Thierry Forte",2,"Comedy, Drama"
"Thomas Farone",2,"Crime, Thriller"
"Tim Rasmussen",2,"Horror, Thriller"
"Tim Sullivan",2,"Comedy, Horror"
"Tinto Brass",2,"Comedy, Romance"
"Tommy Wood",2,"Comedy, Drama"
"Ton Van Der Lee",2,"Drama, Romance"
"Tonya S. Holly",2,"Drama, Family"
"Trivikram Srinivas",2,"Comedy, Romance"
"Troy Scott",2,"Crime, Drama"
"Uwe Kossmann",2,"Action, Adventure"
"Uwe Wilhelm",2,"Action, Adventure"
"Vera Melnik",2,"Drama, Romance"
"Vijay K. Bhaskar",2,"Comedy, Romance"
"Vince Di Meglio",2,"Horror, Thriller"
"Vlady Pildysh",2,"Horror, Thriller"
"Víctor González",2,"Drama, Thriller"
"Vítor Pavão dos Santos",2,"Biography, Documentary"
"W.W. Vought",2,"Drama, Thriller"
"Walter Jacob",2,"Drama, Romance"
"Warren P. Sonoda",2,"Horror, Thriller"
"Wendy Ord",2,"Comedy, Drama"
"William Shakespeare",2,"Comedy, Crime"
"Wilson Yip",2,"Comedy, Horror"
"Winnie Holzman",2,"Comedy, Romance"
"Wong Kar-Wai",2,"Drama, Romance"
"Yasef Calderón",2,"Drama, Fantasy"
"Yasutaka Tsutsui",2,"Comedy, Sci-Fi"
"Yavuz Turgul",2,"Crime, Drama"
"Yehdego Abeselom",2,"Drama, Romance"
"Zak Penn",2,"Action, Sci-Fi"
